Alabama,9,59.4,39.8
Alaska,3,52.8,44.9
Arizona,11,47.05,47.85
Arkansas,6,61,37.4
California,55,34.7,63.8
Colorado,9,44.4,55.3
Connecticut,7,38.1,61.1
Delaware,3,37.3,61.5
Florida,29,47.73,48.15
Georgia,16,49.6,46.6
Hawaii,4,31.9,66.5
Idaho,4,60,37.2
Illinois,20,40.5,58.1
Indiana,11,54.1,44.5
Iowa,6,49.3,49.4
Kansas,6,54.6,43.7
Kentucky,8,58.9,40
Louisiana,8,58.4,40.8
Maine,2,43.2,55.3
Maine 1st,1,38.1,60.5
Maine 2nd,1,48.8,49.6
Maryland,10,34.4,84.3
Massachusetts,11,31.7,66.8
Michigan,16,48.2,51
Minnesota,10,45.3,53.3
Mississippi,6,56.6,42.7
Missouri,10,53.8,44.9
Montana,3,52.9,45.1
Nebraska,2,57.8,40.5
Nebraska 1st,1,55.1,43.2
Nebraska 2nd,1,47.1,51.6
Nebraska 3rd,1,72.1,25.7
Nevada,6,45.6,52.8
New Hampshire,4,46.2,54.7
New Jersey,14,39.8,59.4
New Mexico,5,42.5,55.6
New York,29,34.9,64.1
North Carolina,15,49.95,49.99
North Dakota,3,59.5,37.9
Ohio,18,50.1,48.9
Oklahoma,7,61.7,37.2
Oregon,7,39.8,58.1
Pennsylvania,20,47.1,52.1
Rhode Island,4,35.4,63.3
South Carolina,9,53.8,45.4
South Dakota,3,57.1,41.5
Tennessee,11,57.4,41.6
Texas,38,50.9,48.1
Utah,6,55.9,41.2
Vermont,3,30.7,66.7
Virginia,13,43.3,55.8
Washington,12,37.2,60.6
West Virginia,5,63,35.1
Wisconsin,10,48.1,51.7
Wyoming,3,67.5,28.3
DC,3,6.7,90
